example_id,source_operator_anonymized_id,task_type,machine_type,attachment_type,site_condition,technique_description,observed_metric,context_similarity_score,approved_for_peer_learning,synthetic_flag
PE0001,ANON_804,trenching,dozer,blade,moderate,Consistent depth control reduces rework passes,0.739,0.753,True,True
PE0002,ANON_325,hauling,dozer,ripper,moderate,Steady speed on grade optimises fuel per tonne-km,0.716,0.998,True,True
PE0003,ANON_342,grading,excavator,blade,moderate,Single-pass technique on firm dry soil,0.721,0.939,False,True
PE0004,ANON_926,loading,hauler,bucket,easy,Sequential loading pattern minimises repositioning,0.678,0.71,True,True
PE0005,ANON_688,excavation,excavator,ripper,moderate,Optimal bucket fill angle reduces cycle time by ~12%,0.781,0.912,False,True
PE0006,ANON_583,loading,grader,grapple,moderate,Sequential loading pattern minimises repositioning,0.711,0.606,True,True
PE0007,ANON_877,stockpiling,excavator,bucket,moderate,Layered placement reduces rehandling effort,0.811,0.841,False,True
PE0008,ANON_842,grading,grader,hammer,easy,Single-pass technique on firm dry soil,0.688,0.944,True,True
PE0009,ANON_185,hauling,grader,hammer,easy,Steady speed on grade optimises fuel per tonne-km,0.864,0.567,True,True
PE0010,ANON_698,hauling,dozer,hammer,difficult,Steady speed on grade optimises fuel per tonne-km,0.894,0.982,True,True
PE0011,ANON_396,hauling,loader,hammer,difficult,Steady speed on grade optimises fuel per tonne-km,0.73,0.696,True,True
PE0012,ANON_785,loading,hauler,hammer,moderate,Sequential loading pattern minimises repositioning,0.743,0.569,True,True
PE0013,ANON_633,hauling,grader,grapple,easy,Steady speed on grade optimises fuel per tonne-km,0.882,0.63,True,True
PE0014,ANON_941,grading,excavator,blade,moderate,Single-pass technique on firm dry soil,0.746,0.755,True,True
PE0015,ANON_310,loading,grader,ripper,moderate,Sequential loading pattern minimises repositioning,0.636,0.959,True,True
PE0016,ANON_782,trenching,grader,blade,moderate,Consistent depth control reduces rework passes,0.848,0.832,True,True
PE0017,ANON_108,stockpiling,excavator,ripper,moderate,Layered placement reduces rehandling effort,0.715,0.933,True,True
PE0018,ANON_217,grading,excavator,ripper,difficult,Single-pass technique on firm dry soil,0.764,0.861,True,True
PE0019,ANON_137,stockpiling,dozer,hammer,difficult,Layered placement reduces rehandling effort,0.936,0.835,False,True
PE0020,ANON_138,loading,hauler,grapple,easy,Sequential loading pattern minimises repositioning,0.72,0.803,False,True
PE0021,ANON_668,trenching,loader,bucket,difficult,Consistent depth control reduces rework passes,0.907,0.97,True,True
PE0022,ANON_740,hauling,excavator,hammer,difficult,Steady speed on grade optimises fuel per tonne-km,0.755,0.992,False,True
PE0023,ANON_531,grading,hauler,blade,easy,Single-pass technique on firm dry soil,0.615,0.76,True,True
PE0024,ANON_868,stockpiling,hauler,bucket,difficult,Layered placement reduces rehandling effort,0.674,0.786,False,True
PE0025,ANON_986,grading,hauler,blade,moderate,Single-pass technique on firm dry soil,0.74,0.898,False,True
PE0026,ANON_351,hauling,hauler,bucket,moderate,Steady speed on grade optimises fuel per tonne-km,0.65,0.619,True,True
PE0027,ANON_365,trenching,hauler,ripper,difficult,Consistent depth control reduces rework passes,0.707,0.766,True,True
PE0028,ANON_917,stockpiling,loader,bucket,easy,Layered placement reduces rehandling effort,0.851,0.581,True,True
PE0029,ANON_567,trenching,loader,grapple,easy,Consistent depth control reduces rework passes,0.631,0.505,True,True
PE0030,ANON_218,excavation,loader,blade,difficult,Optimal bucket fill angle reduces cycle time by ~12%,0.851,0.94,True,True
PE0031,ANON_247,trenching,loader,blade,difficult,Consistent depth control reduces rework passes,0.666,0.676,False,True
PE0032,ANON_490,stockpiling,excavator,grapple,moderate,Layered placement reduces rehandling effort,0.924,0.922,True,True
PE0033,ANON_782,loading,grader,ripper,moderate,Sequential loading pattern minimises repositioning,0.66,0.732,True,True
PE0034,ANON_477,excavation,grader,ripper,easy,Optimal bucket fill angle reduces cycle time by ~12%,0.738,0.681,True,True
PE0035,ANON_819,trenching,excavator,grapple,difficult,Consistent depth control reduces rework passes,0.649,0.753,True,True
PE0036,ANON_431,loading,grader,hammer,difficult,Sequential loading pattern minimises repositioning,0.826,0.878,True,True
PE0037,ANON_434,trenching,hauler,blade,moderate,Consistent depth control reduces rework passes,0.622,0.991,True,True
PE0038,ANON_717,excavation,excavator,blade,difficult,Optimal bucket fill angle reduces cycle time by ~12%,0.88,0.602,False,True
PE0039,ANON_626,grading,grader,bucket,difficult,Single-pass technique on firm dry soil,0.936,0.859,True,True
PE0040,ANON_163,hauling,hauler,grapple,easy,Steady speed on grade optimises fuel per tonne-km,0.773,0.709,True,True
PE0041,ANON_129,excavation,grader,grapple,moderate,Optimal bucket fill angle reduces cycle time by ~12%,0.644,0.55,True,True
PE0042,ANON_719,trenching,grader,bucket,easy,Consistent depth control reduces rework passes,0.697,0.855,True,True
PE0043,ANON_832,hauling,hauler,bucket,difficult,Steady speed on grade optimises fuel per tonne-km,0.841,0.655,False,True
PE0044,ANON_602,loading,loader,grapple,difficult,Sequential loading pattern minimises repositioning,0.697,0.693,False,True
PE0045,ANON_523,trenching,grader,blade,easy,Consistent depth control reduces rework passes,0.851,0.785,True,True
PE0046,ANON_477,loading,grader,hammer,difficult,Sequential loading pattern minimises repositioning,0.634,0.716,True,True
PE0047,ANON_575,stockpiling,dozer,blade,moderate,Layered placement reduces rehandling effort,0.867,0.512,True,True
PE0048,ANON_713,trenching,excavator,bucket,difficult,Consistent depth control reduces rework passes,0.887,0.606,True,True
PE0049,ANON_778,loading,loader,hammer,moderate,Sequential loading pattern minimises repositioning,0.738,0.684,False,True
PE0050,ANON_720,excavation,loader,hammer,difficult,Optimal bucket fill angle reduces cycle time by ~12%,0.673,0.909,True,True
PE0051,ANON_818,grading,excavator,bucket,moderate,Single-pass technique on firm dry soil,0.778,0.519,True,True
PE0052,ANON_917,stockpiling,hauler,blade,easy,Layered placement reduces rehandling effort,0.845,0.722,True,True
PE0053,ANON_801,excavation,loader,hammer,difficult,Optimal bucket fill angle reduces cycle time by ~12%,0.921,0.969,True,True
PE0054,ANON_129,grading,loader,hammer,difficult,Single-pass technique on firm dry soil,0.638,0.553,False,True
PE0055,ANON_436,grading,dozer,bucket,easy,Single-pass technique on firm dry soil,0.837,0.536,True,True
PE0056,ANON_776,hauling,excavator,bucket,difficult,Steady speed on grade optimises fuel per tonne-km,0.769,0.719,True,True
PE0057,ANON_413,excavation,dozer,blade,difficult,Optimal bucket fill angle reduces cycle time by ~12%,0.635,0.548,False,True
PE0058,ANON_240,loading,dozer,grapple,difficult,Sequential loading pattern minimises repositioning,0.698,0.981,True,True
PE0059,ANON_345,excavation,loader,blade,difficult,Optimal bucket fill angle reduces cycle time by ~12%,0.748,0.987,True,True
PE0060,ANON_844,stockpiling,loader,hammer,difficult,Layered placement reduces rehandling effort,0.799,0.769,True,True
PE0061,ANON_916,stockpiling,excavator,hammer,easy,Layered placement reduces rehandling effort,0.927,0.551,True,True
PE0062,ANON_696,loading,dozer,grapple,moderate,Sequential loading pattern minimises repositioning,0.949,0.811,False,True
PE0063,ANON_818,trenching,hauler,ripper,difficult,Consistent depth control reduces rework passes,0.717,0.83,True,True
PE0064,ANON_524,trenching,dozer,grapple,easy,Consistent depth control reduces rework passes,0.898,0.544,False,True
PE0065,ANON_918,hauling,excavator,blade,difficult,Steady speed on grade optimises fuel per tonne-km,0.715,0.68,False,True
PE0066,ANON_315,grading,grader,ripper,moderate,Single-pass technique on firm dry soil,0.794,0.698,True,True
PE0067,ANON_507,grading,loader,blade,difficult,Single-pass technique on firm dry soil,0.928,0.873,True,True
PE0068,ANON_840,excavation,grader,blade,moderate,Optimal bucket fill angle reduces cycle time by ~12%,0.931,0.569,True,True
PE0069,ANON_157,grading,excavator,blade,easy,Single-pass technique on firm dry soil,0.881,0.601,True,True
PE0070,ANON_898,hauling,excavator,blade,difficult,Steady speed on grade optimises fuel per tonne-km,0.703,0.991,True,True
PE0071,ANON_620,excavation,grader,hammer,moderate,Optimal bucket fill angle reduces cycle time by ~12%,0.707,0.808,True,True
PE0072,ANON_536,grading,grader,bucket,easy,Single-pass technique on firm dry soil,0.766,0.845,False,True
PE0073,ANON_172,stockpiling,excavator,blade,difficult,Layered placement reduces rehandling effort,0.672,0.614,True,True
PE0074,ANON_371,hauling,dozer,bucket,difficult,Steady speed on grade optimises fuel per tonne-km,0.899,0.655,True,True
PE0075,ANON_430,hauling,hauler,grapple,difficult,Steady speed on grade optimises fuel per tonne-km,0.728,0.629,True,True
PE0076,ANON_431,hauling,grader,grapple,moderate,Steady speed on grade optimises fuel per tonne-km,0.631,0.86,False,True
